time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error,tomorrow,percentage
2013/1/25,7695.25,7704.31,7637.2,7672.58,7711.48,7722.64,7613.54,7551.4,7859.84,7742.59,7625.35,0,-1337,963,0,31468,0,171,686.33,641.42,744.53,1821,0,7714.67,0.00242
2013/1/28,7685.67,7717.35,7685.67,7714.67,7707.93,7718.68,7616.4,7553.87,7855.83,7745.91,7635.98,-6,-1343,1032,37,31505,1,172,585.99,651.24,727.99,1817,-4,7802,0.005485769
2013/1/29,7744.15,7802,7739.6,7802,7729.27,7728.36,7621.5,7557.48,7861.38,7751.03,7640.68,-2,-1345,1120,76,31581,16,188,763.33,684.12,712.1,1807,-10,7832.98,0.011319992
2013/1/30,7832.95,7847.21,7804.71,7832.98,7762.67,7746.74,7628.32,7561.97,7869.19,7753.72,7638.25,3,-1342,1235,81,31662,5,193,818.65,719.46,709.67,1805,-2,7850.02,0.003970777
2013/1/31,7832.87,7850.02,7800.9,7850.02,7786.26,7762.51,7635.04,7566.46,7871.87,7754.38,7636.88,2,-1340,1339,54,31716,-3,190,809.17,732.7,690.44,1797,-8,7855.97,0.002175417
2013/2/1,7853.75,7866.23,7832,7855.97,7808.17,7778.78,7642.16,7571.18,7880.61,7756.88,7633.14,1,-1339,1419,61,31777,5,195,759.51,747.33,694.38,1786,-11,7923.16,0.00075796
2013/2/4,7882.76,7929.97,7880.29,7923.16,7840.13,7801.55,7650.74,7576.68,7908.66,7765.28,7621.9,-7,-1346,1515,81,31858,10,205,907.64,811.66,731.45,1779,-7,7886.94,0.008552731
2013/2/5,7896.67,7896.67,7863.91,7886.94,7855.43,7816.92,7658.46,7581.79,7924.75,7773.54,7622.33,-4,-1350,1585,47,31905,3,208,802.5,819.5,751.81,1769,-10,7906.65,-0.004571408
2013/2/6,7925.26,7941.65,7906.65,7906.65,7876.97,7835.67,7667.04,7587.39,7942.82,7781.94,7621.07,-5,-1355,1675,74,31979,-3,205,942.62,844.29,781.87,1730,-39,7943.53,0.002499068
2013/2/18,8000.69,8005.73,7927.95,7943.53,7907.81,7860,7676.95,7593.7,7963.91,7788.54,7613.17,3,-1352,1779,33,32012,11,216,983.67,879.19,805.94,1736,6,7960.88,0.004664428
