time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error
2013/1/25,7695.25,7704.31,7637.2,7672.58,7711.48,7722.64,7613.54,7551.4,7859.84,7742.59,7625.35,7609窾,-1337货,963货,-23.6货,31468货,-3.16货,171货,686.33,641.42,744.53,1821货,-3.56货
2013/1/28,7685.67,7717.35,7685.67,7714.67,7707.93,7718.68,7616.4,7553.87,7855.83,7745.91,7635.98,-5.74货,-1343货,1032货,37.2货,31505货,1.21货,172货,585.99,651.24,727.99,1817货,-4.02货
2013/1/29,7744.15,7802,7739.6,7802,7729.27,7728.36,7621.5,7557.48,7861.38,7751.03,7640.68,-1.29货,-1345货,1120货,76.1货,31581货,16.0货,188货,763.33,684.12,712.1,1807货,-10.1货
2013/1/30,7832.95,7847.21,7804.71,7832.98,7762.67,7746.74,7628.32,7561.97,7869.19,7753.72,7638.25,2.40货,-1342货,1235货,80.6货,31662货,4.90货,193货,818.65,719.46,709.67,1805货,-1.82货
2013/1/31,7832.87,7850.02,7800.9,7850.02,7786.26,7762.51,7635.04,7566.46,7871.87,7754.38,7636.88,2.11货,-1340货,1339货,54.2货,31716货,-2.97货,190货,809.17,732.7,690.44,1797货,-7.84货
2013/2/1,7853.75,7866.23,7832,7855.97,7808.17,7778.78,7642.16,7571.18,7880.61,7756.88,7633.14,1.19货,-1339货,1419货,61.3货,31777货,4.95货,195货,759.51,747.33,694.38,1786货,-10.7货
2013/2/4,7882.76,7929.97,7880.29,7923.16,7840.13,7801.55,7650.74,7576.68,7908.66,7765.28,7621.9,-7.42货,-1346货,1515货,80.7货,31858货,9.96货,205货,907.64,811.66,731.45,1779货,-7.65货
2013/2/5,7896.67,7896.67,7863.91,7886.94,7855.43,7816.92,7658.46,7581.79,7924.75,7773.54,7622.33,-3.69货,-1350货,1585货,46.7货,31905货,2.37货,208货,802.5,819.5,751.81,1769货,-9.83货
2013/2/6,7925.26,7941.65,7906.65,7906.65,7876.97,7835.67,7667.04,7587.39,7942.82,7781.94,7621.07,-4.94货,-1355货,1675货,74.8货,31979货,-2.41货,205货,942.62,844.29,781.87,1730货,-39.2货
2013/2/18,8000.69,8005.73,7927.95,7943.53,7907.81,7860,7676.95,7593.7,7963.91,7788.54,7613.17,3.22货,-1352货,1779货,32.5货,32012货,10.4货,216货,983.67,879.19,805.94,1736货,6.66货
2013/2/19,7974.4,7974.4,7946.09,7960.88,7926.52,7878.9,7686.36,7599.82,7986.17,7795.63,7605.08,-8.63货,-1360货,1850货,20.0货,32032货,9.28货,225货,817.31,890.75,819.04,1743货,7.03货
2013/2/20,8021.31,8029.1,7995.16,8029.1,7957.24,7904.31,7697.26,7606.74,8021.81,7805.88,7589.95,2.44货,-1358货,1956货,59.9货,32092货,9.08货,234货,1009.73,911.17,861.41,1750货,6.49货
2013/2/21,8020.52,8020.52,7957.46,7957.46,7967.82,7919.71,7706.82,7613.06,8040.26,7815.5,7590.74,-11.6货,-1369货,2024货,-12.1货,32080货,-2.32货,232货,848.58,920.38,869.94,1755货,4.86货
2013/2/22,7947.88,7970.24,7913.16,7947.72,7960.13,7924.26,7714.62,7618.54,8053.15,7827.87,7602.58,-9.83货,-1379货,2097货,-15.0货,32065货,4.13货,236货,771.57,886.17,865.23,1760货,5.63货
2013/2/23,7979.15,7997.94,7965.89,7986.89,7967.58,7934.84,7723.4,7624.56,8059.73,7846.38,7633.03,-3.22货,-1382货,2120货,6.44货,32071货,6.44货,242货,538.8,797.2,838.19,1765货,4.75货
2013/2/25,7986.87,7995.11,7947.68,7947.68,7968.16,7941.11,7731.47,7630.26,8068.14,7857.12,7646.1,5.76货,-1377货,2173货,-30.8货,32040货,6.88货,249货,741.71,782.08,836.41,1770货,5.40货
2013/2/26,7891.41,7927.49,7871.23,7880.9,7943.03,7932.32,7736.76,7634.6,8067.17,7864.92,7662.67,-3.81货,-1380货,2245货,-35.5货,32005货,-8.63货,240货,715.47,723.22,817.19,1766货,-4.41货
2013/2/27,7886.03,7912.85,7873.29,7897.98,7926.2,7925.09,7741.86,7638.86,8068.57,7871.86,7675.16,-5.15货,-1386货,2339货,3.01货,32008货,-2.39货,238货,756.42,704.79,812.59,1763货,-3.09货
2013/3/1,7917.72,7964.63,7917.72,7964.63,7931.19,7928.01,7748.4,7643.86,8074.37,7882.89,7691.4,-1.77货,-1387货,2442货,55.2货,32063货,3.77货,242货,819.68,714.41,800.29,1762货,-1.05货
2013/3/4,7966.22,7966.22,7849.52,7867.34,7924.9,7925.16,7753.77,7648.3,8063.02,7891.45,7719.89,-10.5货,-1398货,2504货,-69.4货,31994货,-2.32货,239货,858.34,778.32,787.76,1763货,1.20货
2013/3/5,7910.44,7939.85,7882.56,7932.71,7922.06,7923.57,7759.1,7652.73,8044.16,7904.46,7764.76,-2.75货,-1401货,2560货,33.0货,32027货,3.54货,243货,931.96,816.37,799.22,1767货,4.30货
2013/3/6,7958.11,7982.39,7936.86,7950.3,7933.68,7929.63,7765.59,7657.75,8026.6,7916.24,7805.89,-13.7货,-1414货,2625货,21.8货,32049货,-1.98货,241货,1033.99,880.08,801.65,1772货,4.14货
2013/3/7,7950.9,7984.29,7942.37,7960.51,7942.29,7935.06,7771.95,7662.74,8022.7,7924.17,7825.64,-7.00货,-1421货,2681货,10.4货,32059货,11.7货,253货,834.62,895.72,800.25,1779货,7.94货
