time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust,dealer,foreign,"K(9,3)","D(9,3)",J,DIF12-26,MACD9,OSC,volume,MA5,MA10,financing,financing_difference,tomorrow,percentage
2013/1/25,7695.25,7704.31,7637.2,7672.58,7711.48,7722.64,7613.54,7551.4,7859.84,7742.59,7625.35,-1337,171,31468,0.4328,0.4726,0.3533,25.02,42.7,-17.68,686.33,641.42,744.53,1821,-3.56,7714.67,0
2013/1/28,7685.67,7717.35,7685.67,7714.67,7707.93,7718.68,7616.4,7553.87,7855.83,7745.91,7635.98,-1343,172,31505,0.5048,0.4833,0.5478,22.33,38.63,-16.3,585.99,651.24,727.99,1817,-4.02,7802,0.005485769
2013/1/29,7744.15,7802,7739.6,7802,7729.27,7728.36,7621.5,7557.48,7861.38,7751.03,7640.68,-1345,188,31581,0.6699,0.5455,0.9186,26.22,36.14,-9.93,763.33,684.12,712.1,1807,-10.1,7832.98,0.011319992
2013/1/30,7832.95,7847.21,7804.71,7832.98,7762.67,7746.74,7628.32,7561.97,7869.19,7753.72,7638.25,-1342,193,31662,0.7573,0.6161,1.0398,32.4,35.39,-3,818.65,719.46,709.67,1805,-1.82,7850.02,0.003970777
2013/1/31,7832.87,7850.02,7800.9,7850.02,7786.26,7762.51,7635.04,7566.46,7871.87,7754.38,7636.88,-1340,190,31716,0.8382,0.6902,1.1344,37.53,35.82,1.71,809.17,732.7,690.44,1797,-7.84,7855.97,0.002175417
2013/2/1,7853.75,7866.23,7832,7855.97,7808.17,7778.78,7642.16,7571.18,7880.61,7756.88,7633.14,-1339,195,31777,0.8772,0.7525,1.1266,42.3,37.12,5.18,759.51,747.33,694.38,1786,-10.7,7923.16,0.00075796
2013/2/4,7882.76,7929.97,7880.29,7923.16,7840.13,7801.55,7650.74,7576.68,7908.66,7765.28,7621.9,-1346,205,31858,0.9104,0.8051,1.1209,50.47,39.79,10.69,907.64,811.66,731.45,1779,-7.65,7886.94,0.008552731
2013/2/5,7896.67,7896.67,7863.91,7886.94,7855.43,7816.92,7658.46,7581.79,7924.75,7773.54,7622.33,-1350,208,31905,0.8913,0.8338,1.0061,53.87,42.6,11.26,802.5,819.5,751.81,1769,-9.83,7906.65,-0.004571408
2013/2/6,7925.26,7941.65,7906.65,7906.65,7876.97,7835.67,7667.04,7587.39,7942.82,7781.94,7621.07,-1355,205,31979,0.8892,0.8523,0.963,58.45,45.77,12.67,942.62,844.29,781.87,1730,-39.2,7943.53,0.002499068
2013/2/18,8000.69,8005.73,7927.95,7943.53,7907.81,7860,7676.95,7593.7,7963.91,7788.54,7613.17,-1352,216,32012,0.8613,0.8553,0.8734,64.54,49.53,15.02,983.67,879.19,805.94,1736,6.66,7960.88,0.004664428
